title,image,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Yomi no Tsugai,https://cdn.myanimelist.net/images/anime/1961/150909.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Action, Adventure, Fantasy",,Bones Film,"Bones, Aniplex, Square Enix",Shounen,,,,6329.0,12881.0,41.0
Mao,https://cdn.myanimelist.net/images/anime/1712/151029.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Mystery, Supernatural","Historical, Time Travel",Sunrise,Bandai Namco Filmworks,Shounen,,,,10932.0,3024.0,7.0
Jigoku Sensei Nube (2025) Part 2,https://cdn.myanimelist.net/images/anime/1800/149568.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Horror, Supernatural","Mythology, School",add some,add some,Shounen,R - 17+ (violence & profanity),,,10243.0,3698.0,3.0
Ikoku Nikki,https://cdn.myanimelist.net/images/anime/1238/151864.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Drama,,Shuka,Pony Canyon,Josei,,,,7026.0,10153.0,27.0
Shibou Yuugi de Meshi wo Kuu.,https://cdn.myanimelist.net/images/anime/1834/151169.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Suspense",High Stakes Game,Studio Deen,"Nippon Columbia, Kadokawa",,,,,7778.0,7772.0,30.0
Koori no Jouheki,https://cdn.myanimelist.net/images/anime/1158/152301.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Romance","Love Polygon, School",Studio KAI,add some,,,,,12361.0,2012.0,1.0
Hikuidori: Ushuu Boro Tobi-gumi,https://cdn.myanimelist.net/images/anime/1129/151615.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,,Historical,SynergySP,add some,,,,,12084.0,2180.0,5.0
Yuusha Party wo Oidasareta Kiyoubinbou,https://cdn.myanimelist.net/images/anime/1486/153135.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure, Fantasy",,animation studio42,"Lantis, Glovision, Bandai Namco Filmworks",,,,,7863.0,7596.0,17.0
"Tensei shita Daiseijo wa, Seijo de Aru Koto wo Hitakakusu",https://cdn.myanimelist.net/images/anime/1667/148703.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Action, Adventure, Fantasy",Reincarnation,Felix Film,add some,,,,,9925.0,4093.0,7.0
Mahou no Shimai Lulutto Lilly,https://cdn.myanimelist.net/images/anime/1804/152762.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,,Mahou Shoujo,Studio Pierrot,Bandai Namco Filmworks,,,,,14029.0,1239.0,1.0
"Kamiina Botan, Yoeru Sugata wa Yuri no Hana",https://cdn.myanimelist.net/images/anime/1706/148432.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Girls Love, Gourmet",Adult Cast,Soigne,add some,,,,,10322.0,3608.0,6.0
Dead Account,https://cdn.myanimelist.net/images/anime/1158/151232.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Supernatural",,SynergySP,"Nippon Columbia, Bushiroad",Shounen,,,,8865.0,5681.0,16.0
Tamon-kun Ima Docchi!?,https://cdn.myanimelist.net/images/anime/1474/153320.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Romance",Idols (Male),J.C.Staff,"Shochiku, Hakusensha, King Records",Shoujo,,,,6550.0,11902.0,47.0
Mayonaka Heart Tune,https://cdn.myanimelist.net/images/anime/1769/152823.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Romance","Harem, School, Showbiz",Gekkou,"NBCUniversal Entertainment Japan, INSPION Edge",Shounen,,,,6611.0,11658.0,114.0
Yuusha no Kuzu,https://cdn.myanimelist.net/images/anime/1411/152514.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Sci-Fi","Organized Crime, Super Power",OLM,add some,,,,,11598.0,2499.0,3.0
Majutsushi Kunon wa Mieteiru,https://cdn.myanimelist.net/images/anime/1138/148408.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Fantasy,,Platinum Vision,Kadokawa,,,,,9876.0,4177.0,3.0
Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,https://cdn.myanimelist.net/images/anime/1704/150832.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure, Fantasy",,CompTown,Pony Canyon,,,,,8802.0,5820.0,17.0
Enen no Shouboutai: San no Shou Part 2,https://cdn.myanimelist.net/images/anime/1508/152472.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Fantasy, Sci-Fi",Urban Fantasy,David Production,add some,Shounen,PG-13 - Teens 13 or older,,,2681.0,79470.0,107.0
"Douse, Koishite Shimaunda. Season 2",https://cdn.myanimelist.net/images/anime/1473/151332.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Drama, Romance","Reverse Harem, School",Typhoon Graphics,add some,Shoujo,PG-13 - Teens 13 or older,,,9437.0,4769.0,9.0
Ao no Miburo: Serizawa Ansatsu-hen,https://cdn.myanimelist.net/images/anime/1753/152079.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Action,"Historical, Samurai",Maho Film,add some,Shounen,PG-13 - Teens 13 or older,,,10155.0,3827.0,3.0
Medalist 2nd Season,https://cdn.myanimelist.net/images/anime/1562/148882.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Drama, Sports",Performing Arts,ENGI,Kadokawa,Seinen,PG-13 - Teens 13 or older,,,5936.0,15216.0,29.0
Darwin Jihen,https://cdn.myanimelist.net/images/anime/1341/152829.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Sci-Fi,,Bellnox Films,TOHO animation,Seinen,,,,7345.0,9036.0,9.0
Osananajimi to wa Love Comedy ni Naranai,https://cdn.myanimelist.net/images/anime/1096/150364.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Romance","Harem, School",Tezuka Productions,CyberAgent,,,,,9836.0,4209.0,9.0
Hanazakari no Kimitachi e,https://cdn.myanimelist.net/images/anime/1490/152041.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Drama, Romance","Crossdressing, Love Polygon, School",Signal.MD,Aniplex,Shoujo,,,,8628.0,6051.0,22.0
Awajima Hyakkei,https://cdn.myanimelist.net/images/anime/1889/149784.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Drama,School,Madhouse,Kadokawa,,,,,11761.0,2393.0,1.0
Kanan-sama wa Akumade Choroi,https://cdn.myanimelist.net/images/anime/1660/150969.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Romance, Supernatural",School,Studio KAI,King Records,Shounen,,,,7605.0,8295.0,22.0
Champignon no Majo,https://cdn.myanimelist.net/images/anime/1499/152613.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Drama, Fantasy, Romance",,"Typhoon Graphics, Qzil.la",add some,,,,,8812.0,5803.0,10.0
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Season 2,https://cdn.myanimelist.net/images/anime/1742/152281.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Fantasy,"Isekai, Villainess",OLM,add some,Josei,PG-13 - Teens 13 or older,,,6670.0,11431.0,18.0
Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,https://cdn.myanimelist.net/images/anime/1062/151911.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure, Fantasy",,Studio KAI,Bit grooove promotion,,,,,4260.0,34065.0,124.0
Tsue to Tsurugi no Wistoria Season 2,https://cdn.myanimelist.net/images/anime/1002/151943.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Action, Fantasy",School,"Actas, Bandai Namco Pictures",add some,Shounen,PG-13 - Teens 13 or older,,,3253.0,55998.0,173.0
Mairimashita! Iruma-kun 4th Season,https://cdn.myanimelist.net/images/anime/1918/146534.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Fantasy",School,add some,add some,Shounen,PG-13 - Teens 13 or older,,,4218.0,34741.0,123.0
Dark Moon: Tsuki no Saidan,https://cdn.myanimelist.net/images/anime/1609/152040.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Fantasy,"School, Vampire",TROYCA,add some,,,,,9346.0,4899.0,31.0
Himekishi wa Barbaroi no Yome,https://cdn.myanimelist.net/images/anime/1801/148621.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Fantasy, Romance",,Jumondou,"Magic Capsule, Kadokawa",Shounen,,,,5436.0,19250.0,70.0
Cardfight!! Vanguard: Divinez Genma Seisen-hen,https://cdn.myanimelist.net/images/anime/1358/152690.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Action,Strategy Game,add some,add some,,PG-13 - Teens 13 or older,,,20361.0,319.0,0.0
Fate/strange Fake,https://cdn.myanimelist.net/images/anime/1752/150192.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Fantasy",Urban Fantasy,A-1 Pictures,"Aniplex, INSPION Edge",,R - 17+ (violence & profanity),,,2813.0,73408.0,277.0
Rilakkuma,https://cdn.myanimelist.net/images/anime/1494/151689.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Slice of Life,"Anthropomorphic, Iyashikei",Production I.G,Legendoor,,PG - Children,,,15448.0,850.0,4.0
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,https://cdn.myanimelist.net/images/anime/1983/150931.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Fantasy,"Isekai, Reincarnation",Wit Studio,add some,,PG-13 - Teens 13 or older,,,4170.0,35456.0,144.0
Jingai Kyoushitsu no Ningengirai Kyoushi,https://cdn.myanimelist.net/images/anime/1210/151933.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Drama, Supernatural","School, Workplace",asread.,"Pony Canyon, Zack Promotion, Kadokawa",,,,,11715.0,2427.0,3.0
Eris no Seihai,https://cdn.myanimelist.net/images/anime/1558/148652.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Mystery, Supernatural",Villainess,Ashi Productions,Good Smile Film,,,,,7351.0,9002.0,20.0
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken 2,https://cdn.myanimelist.net/images/anime/1746/152415.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Romance,School,Project No.9,add some,,PG-13 - Teens 13 or older,,,2821.0,72906.0,1238.0
Marriagetoxin,https://cdn.myanimelist.net/images/anime/1602/152326.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Action,Adult Cast,Bones Film,Bones,Shounen,,,,9995.0,4014.0,9.0
[Oshi no Ko] 3rd Season,https://cdn.myanimelist.net/images/anime/1979/153329.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Drama,"Reincarnation, Showbiz",Doga Kobo,add some,Seinen,PG-13 - Teens 13 or older,,,1977.0,126000.0,550.0
Seihantai na Kimi to Boku,https://cdn.myanimelist.net/images/anime/1773/153211.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Romance",School,Lapin Track,Shochiku,Shounen,,,,5659.0,17329.0,32.0
Jigokuraku 2nd Season,https://cdn.myanimelist.net/images/anime/1500/140418.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure, Supernatural","Gore, Historical, Samurai",MAPPA,Twin Engine,Shounen,R - 17+ (violence & profanity),,,1441.0,185818.0,1752.0
Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo?,https://cdn.myanimelist.net/images/anime/1113/152747.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Adventure, Comedy, Fantasy",Isekai,Studio Flad,NBCUniversal Entertainment Japan,,,,,13030.0,1625.0,9.0
Isekai no Sata wa Shachiku Shidai,https://cdn.myanimelist.net/images/anime/1252/151247.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Boys Love, Fantasy","Adult Cast, Isekai",Studio Deen,"Nippon Columbia, Kadokawa",,,,,9014.0,5417.0,18.0
Arne no Jikenbo,https://cdn.myanimelist.net/images/anime/1112/152731.jpg,TV,12,Not yet aired,Winter 2026,Winter,2026.0,"Fantasy, Mystery",Vampire,SILVER LINK.,Asmik Ace,,,,,10342.0,3592.0,6.0
#Kanagawa ni Sunderu Elf,https://cdn.myanimelist.net/images/anime/1194/152817.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Fantasy",,"Imagica Infos, Imageworks Studio",add some,,,,,18141.0,479.0,1.0
Omae wa Mada Gunma wo Shiranai: Reiwa-ban,https://cdn.myanimelist.net/images/anime/1156/153079.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Comedy,School,"Imagica Infos, Imageworks Studio",add some,,PG-13 - Teens 13 or older,,,20020.0,342.0,1.0
High School! Kimengumi (2026),https://cdn.myanimelist.net/images/anime/1355/152667.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Romance","Gag Humor, Parody, School",Seven,"Fuji TV, Slow Curve",Shounen,,,,16354.0,680.0,3.0
Jujutsu Kaisen 3rd Season,https://cdn.myanimelist.net/images/anime/1889/147024.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Supernatural",School,MAPPA,"TOHO animation, dugout",Shounen,R - 17+ (violence & profanity),,,1720.0,149686.0,591.0
Kaya-chan wa Kowakunai,https://cdn.myanimelist.net/images/anime/1705/152443.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Supernatural,School,East Fish Studio,Kadokawa,,,,,9206.0,5137.0,12.0
Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari,https://cdn.myanimelist.net/images/anime/1033/152494.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Fantasy, Romance","Adult Cast, Urban Fantasy, Workplace",Project No.9,"Pony Canyon, Bit grooove promotion",,,,,7332.0,9082.0,24.0
Odayaka Kizoku no Kyuuka no Susume.,https://cdn.myanimelist.net/images/anime/1968/152396.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Fantasy, Slice of Life",,SynergySP,TO Books,,,,,8399.0,6453.0,22.0
Sousou no Frieren 2nd Season,https://cdn.myanimelist.net/images/anime/1064/152251.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Drama, Fantasy",,Madhouse,TOHO animation,Shounen,PG-13 - Teens 13 or older,,,1253.0,217021.0,2108.0
Golden Kamuy: Saishuushou,https://cdn.myanimelist.net/images/anime/1809/136686.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure","Adult Cast, Historical, Military",Brain's Base,add some,Seinen,R - 17+ (violence & profanity),,,4461.0,30727.0,45.0
"Kanojo, Okarishimasu 4th Season",https://cdn.myanimelist.net/images/anime/1071/150808.jpg,TV,12,Finished Airing,Summer 2025,Summer,2025.0,"Comedy, Romance","Adult Cast, Harem",TMS Entertainment,"Mainichi Broadcasting System, Kodansha, DMM.com",Shounen,PG-13 - Teens 13 or older,6.17,9325.0,2651.0,80861.0,374.0
Jigoku Sensei Nube (2025),https://cdn.myanimelist.net/images/anime/1637/148197.jpg,TV,13,Finished Airing,Summer 2025,Summer,2025.0,"Comedy, Horror, Supernatural","Mythology, School",Studio KAI,"Toei Animation, TV Asahi, Shueisha, REMOW, Shueisha DeNA Projects",Shounen,R - 17+ (violence & profanity),6.68,6234.0,5082.0,22654.0,41.0
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,https://cdn.myanimelist.net/images/anime/1668/144352.jpg,TV,12,Finished Airing,Winter 2025,Winter,2025.0,"Adventure, Comedy, Fantasy",Isekai,"Geek Toys, CompTown","Pony Canyon, KlockWorx, Hakuhodo DY Music & Pictures, Docomo Anime Store, Overlap, Crunchyroll, dugout, GRANTdesign",,PG-13 - Teens 13 or older,6.59,6736.0,2182.0,109720.0,242.0
Shirobuta Kizoku desu ga Zense no Kioku ga Haeta node Hiyoko na Otouto Sodatemasu,https://cdn.myanimelist.net/images/anime/1231/149888.jpg,TV,12,Finished Airing,Summer 2025,Summer,2025.0,"Fantasy, Slice of Life","Childcare, Isekai, Reincarnation",Studio Comet,"Nikkatsu, Yomiuri TV Enterprise, Jinnan Studio, TO Books, NK Animation",,PG-13 - Teens 13 or older,6.74,5819.0,5972.0,14948.0,26.0
Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,https://cdn.myanimelist.net/images/anime/1878/150315.jpg,TV,12,Finished Airing,Summer 2025,Summer,2025.0,Action,Strategy Game,"Kinema Citrus, Gift-o’-Animation, Studio Jemi",Bushiroad,,PG-13 - Teens 13 or older,6.68,6221.0,12538.0,1898.0,2.0
Chuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo wo Hodoite Shimau kara.,https://cdn.myanimelist.net/images/anime/1770/148195.jpg,TV,12,Finished Airing,Spring 2025,Spring,2025.0,"Mystery, Supernatural","Historical, School",100studio,"MediaNet, Pony Canyon, AT-X, Bit grooove promotion",Shounen,PG-13 - Teens 13 or older,6.52,7201.0,5908.0,15432.0,32.0
Ao no Exorcist: Yosuga-hen,https://cdn.myanimelist.net/images/anime/1390/147040.jpg,TV,12,Finished Airing,Winter 2025,Winter,2025.0,"Action, Supernatural","Mythology, School",Studio VOLN,"Dentsu, Mainichi Broadcasting System, Movic, Rakuonsha, Shueisha",Shounen,PG-13 - Teens 13 or older,8.0,702.0,2746.0,76414.0,242.0
Sanda,https://cdn.myanimelist.net/images/anime/1364/151767.jpg,TV,12,Currently Airing,Fall 2025,Fall,2025.0,"Action, Mystery",School,Science SARU,"Dentsu, Mainichi Broadcasting System, Tohokushinsha Film Corporation, Akita Shoten",Shounen,PG-13 - Teens 13 or older,7.45,2237.0,3142.0,59988.0,137.0
Magic Maker: Isekai Mahou no Tsukurikata,https://cdn.myanimelist.net/images/anime/1802/146725.jpg,TV,12,Finished Airing,Winter 2025,Winter,2025.0,Fantasy,"Isekai, Reincarnation",Studio Deen,"TV Tokyo, Frontier Works, Half H.P Studio, AT-X, Toy's Factory, BS NTV, Kadokawa",,PG-13 - Teens 13 or older,6.81,5476.0,2836.0,72118.0,135.0
Kuroshitsuji: Midori no Majo-hen,https://cdn.myanimelist.net/images/anime/1517/148292.jpg,TV,13,Finished Airing,Spring 2025,Spring,2025.0,"Action, Mystery, Supernatural","Historical, Mythology",CloverWorks,"Aniplex, Square Enix, Magic Capsule, Crunchyroll",Shounen,R - 17+ (violence & profanity),8.17,456.0,3017.0,64557.0,504.0
"Mikadono Sanshimai wa Angai, Choroi.",https://cdn.myanimelist.net/images/anime/1949/150965.jpg,TV,12,Finished Airing,Summer 2025,Summer,2025.0,"Comedy, Romance","Harem, School",P.A. Works,"Aniplex, Mainichi Broadcasting System, Movic, Magic Capsule, Tokyo MX, BS11, Shogakukan, JR East Marketing & Communications, arma bianca, Sankyo",Shounen,PG-13 - Teens 13 or older,7.66,1461.0,2600.0,83553.0,341.0
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://cdn.myanimelist.net/images/anime/1255/150593.jpg,TV,12,Finished Airing,Summer 2025,Summer,2025.0,"Action, Fantasy",,Lay-duce,"AT-X, Sammy, Crunchyroll, BS NTV, Kadokawa, Culture Entertainment, INSPION Edge, Line Digital Frontier",,R - 17+ (violence & profanity),7.86,947.0,1750.0,147055.0,592.0
Kaijuu Sekai Seifuku (TV),https://cdn.myanimelist.net/images/anime/1582/150123.jpg,TV,Unknown,Currently Airing,Spring 2025,Spring,2025.0,Slice of Life,Pets,DLE,Kotobukiya,,G - All Ages,,17599.0,14739.0,1032.0,0.0
Classic★Stars,https://cdn.myanimelist.net/images/anime/1564/148380.jpg,TV,13,Finished Airing,Spring 2025,Spring,2025.0,,"Music, School",Platinum Vision,"Movic, KlockWorx, Tokyo MX, King Records, BS11, MIGHTY MEDIA, Aria Entertainment",,PG-13 - Teens 13 or older,5.66,11989.0,8547.0,6180.0,28.0
Sentai Daishikkaku 2nd Season,https://cdn.myanimelist.net/images/anime/1405/147694.jpg,TV,12,Finished Airing,Spring 2025,Spring,2025.0,"Action, Fantasy",Urban Fantasy,Yostar Pictures,"Shochiku, Shochiku Music Publishing",Shounen,PG-13 - Teens 13 or older,7.08,4184.0,2757.0,75802.0,272.0
Kaijuu 8-gou 2nd Season,https://cdn.myanimelist.net/images/anime/1177/150344.jpg,TV,11,Finished Airing,Summer 2025,Summer,2025.0,"Action, Fantasy, Sci-Fi","Adult Cast, Military, Urban Fantasy",Production I.G,"TV Tokyo, Khara, Nippon Columbia, TOHO animation, Shueisha, Sonilude, Toho Music",Shounen,PG-13 - Teens 13 or older,7.81,1055.0,901.0,303571.0,1509.0
